TipoDeVinho,Sabor,TeorDeAlcool,CarnelPrincipal,Molho/Especiaria,Harmoniza
Branco,Doce,Baixo,CarneVermelha,Tomate/Pesto,Sim
Tinto,Doce,Alto,Peixe/FrutosDoMar,Cremoso/Queijo,Nao
Rose,Seco,Alto,CarneVermelha,Picante/Ervas,Sim
Branco,Meio,Medio,Frango/aves,Picante/Ervas,Sim
Tinto,Seco,Alto,Peixe/FrutosDoMar,Cremoso/Queijo,Sim
Branco,Seco,Medio,Peixe/FrutosDoMar,Cremoso/Queijo,Sim
Rose,Seco,Medio,Peixe/FrutosDoMar,Tomate/Pesto,Nao
Tinto,Doce,Medio,Peixe/FrutosDoMar,Picante/Ervas,Nao
Branco,Seco,Baixo,Peixe/FrutosDoMar,Picante/Ervas,Sim
Rose,Seco,Alto,Peixe/FrutosDoMar,Cremoso/Queijo,Nao
Tinto,Seco,Baixo,CarneVermelha,Cremoso/Queijo,Sim
Branco,Seco,Medio,CarneVermelha,Cremoso/Queijo,Sim
Rose,Doce,Medio,Peixe/FrutosDoMar,Cremoso/Queijo,Nao
Tinto,Seco,Baixo,Peixe/FrutosDoMar,Tomate/Pesto,Sim
Branco,Doce,Baixo,Peixe/FrutosDoMar,Picante/Ervas,Sim
Rose,Seco,Medio,CarneVermelha,Cremoso/Queijo,Nao
Tinto,Seco,Medio,CarneVermelha,Tomate/Pesto,Nao
Branco,Meio,Medio,Frango/aves,Cremoso/Queijo,Sim
Rose,Meio,Baixo,Peixe/FrutosDoMar,Tomate/Pesto,Sim
Tinto,Seco,Alto,CarneVermelha,Picante/Ervas,Nao
Branco,Doce,Baixo,Frango/aves,Tomate/Pesto,Nao
Rose,Meio,Medio,Peixe/FrutosDoMar,Cremoso/Queijo,Sim
Tinto,Doce,Medio,Frango/aves,Picante/Ervas,Sim
Branco,Doce,Alto,CarneVermelha,Cremoso/Queijo,Sim
Rose,Meio,Baixo,Frango/aves,Cremoso/Queijo,Sim
Tinto,Meio,Baixo,Peixe/FrutosDoMar,Tomate/Pesto,Sim
Branco,Seco,Baixo,CarneVermelha,Cremoso/Queijo,Nao
Rose,Doce,Medio,Peixe/FrutosDoMar,Tomate/Pesto,Sim
Tinto,Doce,Baixo,Frango/aves,Cremoso/Queijo,Sim
Rose,Seco,Baixo,Peixe/FrutosDoMar,Tomate/Pesto,Nao
Branco,Meio,Baixo,Peixe/FrutosDoMar,Cremoso/Queijo,Sim
Tinto,Doce,Alto,Peixe/FrutosDoMar,Picante/Ervas,Sim
Branco,Seco,Baixo,CarneVermelha,Cremoso/Queijo,Nao
Tinto,Seco,Baixo,Peixe/FrutosDoMar,Cremoso/Queijo,Nao
Rose,Doce,Medio,Peixe/FrutosDoMar,Tomate/Pesto,Sim
Branco,Meio,Medio,CarneVermelha,Picante/Ervas,Sim
Tinto,Meio,Medio,Frango/aves,Cremoso/Queijo,Sim
Rose,Seco,Baixo,Peixe/FrutosDoMar,Picante/Ervas,Sim
Branco,Seco,Baixo,Frango/aves,Tomate/Pesto,Sim
Tinto,Seco,Medio,Frango/aves,Tomate/Pesto,Sim
Branco,Doce,Baixo,CarneVermelha,Cremoso/Queijo,Sim
Rose,Seco,Medio,Frango/aves,Cremoso/Queijo,Nao
Tinto,Meio,Alto,Peixe/FrutosDoMar,Cremoso/Queijo,Sim
Branco,Meio,Alto,Frango/aves,Cremoso/Queijo,Sim
Tinto,Seco,Medio,Peixe/FrutosDoMar,Tomate/Pesto,Sim
Rose,Meio,Medio,Peixe/FrutosDoMar,Cremoso/Queijo,Sim
Branco,Seco,Medio,Peixe/FrutosDoMar,Cremoso/Queijo,Sim
Tinto,Doce,Baixo,Peixe/FrutosDoMar,Tomate/Pesto,Sim
Rose,Seco,Alto,Peixe/FrutosDoMar,Cremoso/Queijo,Nao
Branco,Meio,Medio,Frango/aves,Picante/Ervas,Sim
Tinto,Seco,Baixo,CarneVermelha,Cremoso/Queijo,Sim
Rose,Doce,Baixo,Peixe/FrutosDoMar,Tomate/Pesto,Sim
Branco,Seco,Alto,CarneVermelha,Cremoso/Queijo,Nao
Tinto,Meio,Baixo,Frango/aves,Cremoso/Queijo,Sim
